network,address,municipality,lat,lon,petrol95_eur,diesel_eur,lpg_eur,price_updated,price_date
UAB Baltic Petroleum,"Naujoji Akmenė, V. Kudirkos g. 21A, 85145",Akmenės r. sav.,56.318461,22.885615,1.739,1.989,0.72,2026-08-05T09:15:02+03:00,2026-08-05
UAB Eniris,"Skabeikių k. 4, 85233",Akmenės r. sav.,56.160143,22.760735,1.749,1.999,0.729,2026-08-05T09:52:12+03:00,2026-08-05
UAB Eniris,"Venta, Plento g. 2, 85302",Akmenės r. sav.,56.194307,22.6779,1.749,1.999,0.729,2026-08-05T09:52:11+03:00,2026-08-05
UAB Saurida,"Akmenės I k., Plento g. 1, 85380",Akmenės r. sav.,56.238461,22.750823,1.76,2.0,0.72,2026-08-05T08:58:55+03:00,2026-08-05
UAB Saurida,"Naujoji Akmenė,  V. Kudirkos g. 18A, 85171",Akmenės r. sav.,56.317229,22.884847,1.76,2.01,0.72,2026-08-05T08:58:54+03:00,2026-08-05
UAB Saurida,"Pašakarnių k. Pašakarnių g. 1, 85271",Akmenės r. sav.,56.298148,22.885039,1.76,2.0,0.72,2026-08-05T08:58:54+03:00,2026-08-05
AB Orlen Baltics Retail,"Alytus, Kauno g. 73, 62107",Alytaus m. sav.,54.403324,24.037088,1.669,1.899,0.729,2026-08-05T13:51:38+03:00,2026-08-05
UAB Baltic Petroleum,"Alytus, Santaikos g. 33, 62100",Alytaus m. sav.,54.38677,24.033208,1.699,1.929,0.699,2026-08-05T09:15:01+03:00,2026-08-05
UAB Circle K Lietuva,"Alytus, Naujoji g. 120, 62175",Alytaus m. sav.,54.42474,24.003441,1.78,2.079,0.769,2026-08-05T09:51:14+03:00,2026-08-05
UAB Circle K Lietuva,"Alytus, Rūtų g. 2B, 62119",Alytaus m. sav.,54.395068,24.037857,1.789,2.079,0.769,2026-08-05T09:51:16+03:00,2026-08-05
UAB Emsi,"Alytus, Ūdrijos g. 2, 62402",Alytaus m. sav.,54.408331,24.01636,1.69,1.92,0.69,2026-08-05T09:00:00+03:00,2026-08-05
UAB Neste Lietuva,"Alytus, Santaikos g. 34A, 62123",Alytaus m. sav.,54.38706,24.02632,1.759,1.999,,2026-08-05T09:55:57+03:00,2026-08-05
UAB Neste Lietuva,"Alytus, Ūdrijos g. 31, 62411",Alytaus m. sav.,54.40893,24.0052,1.759,1.999,,2026-08-05T09:55:57+03:00,2026-08-05
UAB Saurida,"Alytus, Miškininkų g. 7, 62201",Alytaus m. sav.,54.411306,24.06765,1.75,1.96,,2026-08-05T08:58:54+03:00,2026-08-05
UAB Saurida,"Alytus, Pramonės g. 5, 62323",Alytaus m. sav.,54.423527,24.020394,1.75,1.96,0.72,2026-08-05T08:58:54+03:00,2026-08-05
UAB Stateta,"Alytus, Santaikos g. 28 B, 62123",Alytaus m. sav.,54.387521,24.031856,1.689,1.919,,2026-08-05T10:02:12+03:00,2026-08-05
UAB Viada LT,"Alytus, Naujoji g. 27, 62175",Alytaus m. sav.,54.413986,24.010062,1.799,2.099,0.769,2026-08-05T09:18:08+03:00,2026-08-05
UAB Viada LT,"Alytus, Ulonų g. 33B, 62136",Alytaus m. sav.,54.385069,24.050295,1.799,2.099,0.769,2026-08-05T09:18:08+03:00,2026-08-05
UAB Alauša,"Santaikos k., Santaikos g. 2A, 64283",Alytaus r. sav.,54.388475,23.820192,1.694,1.924,0.694,2026-08-05T09:28:25+03:00,2026-08-05
UAB Baltic Petroleum,"Likiškėliai, Pabalių g. 11, 64381",Alytaus r. sav.,54.387784,23.996155,1.699,1.929,0.699,2026-08-05T09:15:04+03:00,2026-08-05
UAB Skulas,"Likiškėlių k., Kalninės g. 5, 62442",Alytaus r. sav.,54.381896,23.993186,1.69,1.93,0.69,2026-08-05T09:56:53+03:00,2026-08-05
UAB Skulas,"Simnas, Alytaus g. 48, 64313",Alytaus r. sav.,54.383845,23.659403,1.78,1.98,0.72,2026-08-05T09:56:53+03:00,2026-08-05
UAB Stateta,"Alytaus k., 64464",Alytaus r. sav.,54.407139,24.101763,1.689,1.919,0.737,2026-08-05T10:02:11+03:00,2026-08-05
UAB Stateta,"Kaniūkų k., 64104",Alytaus r. sav.,54.365305,24.106088,1.689,1.919,0.737,2026-08-05T10:02:11+03:00,2026-08-05
UAB Stateta,"Miklusėnai, Kauno g. 1, 62461",Alytaus r. sav.,54.428042,24.001399,1.689,1.919,0.737,2026-08-05T10:02:11+03:00,2026-08-05
UAB Viada LT,"Daugų k., Neveiglo g. 25, 64144",Alytaus r. sav.,54.366827,24.337458,1.819,2.119,0.799,2026-08-05T09:18:08+03:00,2026-08-05
UAB Alauša,"Anykščiai, A. Vienuolio g. 32A, 29149",Anykščių r. sav.,55.522439,25.089963,1.669,1.899,0.669,2026-08-05T09:28:25+03:00,2026-08-05
UAB Alauša,"Bajorų k., Šimonių g. 36, 29352",Anykščių r. sav.,55.6849,25.352675,1.669,1.899,0.699,2026-08-05T09:28:25+03:00,2026-08-05
UAB Baltic Petroleum,"Anykščiai, Mindaugo g. 23, 29141",Anykščių r. sav.,55.508475,25.09633,1.689,1.929,0.699,2026-08-05T09:15:06+03:00,2026-08-05
UAB Degta,"Anykščiai, Vienuolio g. 34A, 29148",Anykščių r. sav.,55.5226,25.087988,1.669,1.899,0.669,2026-08-05T09:27:16+03:00,2026-08-05
UAB Narjanta,"Pumpučiai, Pumpučių g. 25, 29253",Anykščių r. sav.,55.424311,24.920495,1.899,2.099,0.789,2026-08-05T09:37:10+03:00,2026-08-05
UAB Narjanta,"Sausalaukės k. 2, 29345",Anykščių r. sav.,55.67584,25.358668,1.789,2.059,0.749,2026-08-05T09:37:10+03:00,2026-08-05
UAB Narjanta,"Troškūnai, Vilniaus g. 32, 29306",Anykščių r. sav.,55.584853,24.87846,1.799,2.079,0.719,2026-08-05T09:37:11+03:00,2026-08-05
UAB Viada LT,"Anykščiai, A. Vienuolio g. 34, 29148",Anykščių r. sav.,55.521814,25.086034,1.819,2.099,0.769,2026-08-05T09:18:08+03:00,2026-08-05
UAB Viada LT,"Anykščiai, Piliakalnio g. 9, 29109",Anykščių r. sav.,55.541219,25.134763,1.819,2.099,0.769,2026-08-05T09:18:09+03:00,2026-08-05
UAB Borusta,"Birštonas, Prienų g. 14, 59219",Birštono sav.,54.595386,24.026691,1.749,1.999,0.749,2026-08-05T09:37:56+03:00,2026-08-05
UAB Baltic Petroleum,"Valantiškio k., 41131",Biržų r. sav.,56.197343,24.709643,1.719,1.959,0.759,2026-08-05T09:15:02+03:00,2026-08-05
UAB Circle K Lietuva,"Biržai, Kilučių g. 93, 41154",Biržų r. sav.,56.194803,24.771856,1.774,2.034,0.79,2026-08-05T09:51:17+03:00,2026-08-05
UAB Emsi,"Biržai, Jaunimo g. 2a, 41168",Biržų r. sav.,56.207704,24.77073,1.699,1.929,0.69,2026-08-05T09:00:00+03:00,2026-08-05
UAB Narjanta,"Vabalninkas, S. Nėries g. 35, 41341",Biržų r. sav.,55.974978,24.740122,1.799,2.079,0.75,2026-08-05T09:37:11+03:00,2026-08-05
